Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Scots Pine,14,100,178,31.1,59,48.7,615,604,581,6,57.4,3.208,17,17,16,131.6,1259,0.42,5.7,12.6
Scots Pine,12,15,4329,7.3,7.9,21.2,46,0,0,0,0,0,0,0,0,21.2,46,1.72,8.3,3.1
Scots Pine,12,20,2782,9.7,9.7,20.5,78,0,0,1547,8.9,0.012,18,0,0,30.1,96,1.82,11.4,4.8
Scots Pine,12,25,1603,11.9,12.3,19.1,100,2,0,1179,10.7,0.036,42,0,0,39.4,160,1.85,13.7,6.4
Scots Pine,12,30,1095,13.9,15.7,21.2,131,16,0,508,13.3,0.083,42,2,0,48.6,234,1.8,15.4,7.8
Scots Pine,12,35,823,15.7,19.4,24.2,170,61,8,272,16.4,0.154,42,6,0,57.4,314,1.7,16.4,9
Scots Pine,12,40,654,17.4,23.1,27.3,211,128,36,169,19.7,0.25,42,16,2,65.6,397,1.58,16.7,9.9
Scots Pine,12,45,541,19.1,26.6,30.1,253,192,92,113,23.2,0.369,42,26,8,73.2,481,1.45,16.5,10.7
Scots Pine,12,50,459,20.6,30,32.4,292,247,158,82,26.7,0.511,42,32,16,80.1,562,1.31,15.9,11.2
Scots Pine,12,55,398,21.9,33.1,34.3,328,293,220,61,30.1,0.69,42,36,23,86.3,640,1.18,15,11.6
Scots Pine,12,60,350,23.1,36.1,35.7,360,333,273,48,33.2,0.835,40,36,27,91.9,712,1.06,13.9,11.9
Scots Pine,12,65,315,24.2,38.8,37.2,390,367,318,35,36.1,1.055,37,34,28,97,779,0.96,12.8,12
Scots Pine,12,70,288,25.2,41.3,38.6,418,399,357,27,38.8,1.244,33,31,27,101.5,840,0.87,11.8,12
Scots Pine,12,75,267,26,43.7,40,445,428,393,21,41.3,1.437,30,28,25,105.7,896,0.79,10.8,12
Scots Pine,12,80,250,26.8,45.8,41.3,470,455,423,17,43.6,1.624,26,25,23,109.4,948,0.7,9.8,11.8
