Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Norway Spruce,10,30,2482,11,11.2,24.2,96,0,0,921,11.4,0.038,35,0,0,37.3,144,1.88,13.6,4.8
Norway Spruce,10,35,1897,12.9,13.3,26.2,132,5,0,585,12.3,0.06,35,0,0,46.1,216,1.66,14.6,6.2
Norway Spruce,10,40,1491,14.6,15.5,28.2,172,19,0,406,13.5,0.086,35,2,0,53.9,290,1.47,14.9,7.3
Norway Spruce,10,45,1202,16.2,17.8,30,211,51,3,289,15,0.121,35,3,0,60.8,364,1.3,14.6,8.1
Norway Spruce,10,50,993,17.7,20.1,31.5,248,104,16,209,16.7,0.168,35,6,0,66.9,436,1.16,14.2,8.7
Norway Spruce,10,55,841,19,22.3,32.9,282,160,40,152,18.6,0.231,35,11,1,72.4,506,1.05,13.6,9.2
Norway Spruce,10,60,730,20.2,24.4,34.2,314,212,76,111,20.6,0.317,35,16,3,77.4,572,0.96,12.9,9.5
Norway Spruce,10,65,642,21.3,26.4,35.2,343,259,121,86,22.6,0.375,33,19,5,82,635,0.88,12.1,9.8
Norway Spruce,10,70,584,22.2,28.3,36.7,374,302,170,58,24.6,0.485,28,19,7,86.2,693,0.8,11.4,9.9
Norway Spruce,10,75,539,23.1,30,38,403,340,218,45,26.5,0.573,26,19,9,90,748,0.74,10.7,10
Norway Spruce,10,80,500,24,31.6,39.2,430,375,264,39,28.2,0.65,25,20,11,93.5,800,0.86,10,10
Norway Spruce,8,25,3710,7.6,8.5,21,49,0,0,0,0,0,0,0,0,21,49,1.82,8.4,2
Norway Spruce,8,30,3048,9.5,9.9,23.5,73,0,0,662,11.2,0.035,23,0,0,30,96,1.71,10.2,3.2
Norway Spruce,8,35,2395,11.2,11.5,24.8,100,0,0,653,11.6,0.043,28,0,0,38.1,151,1.55,11.5,4.3
Norway Spruce,8,40,1937,12.8,13.2,26.7,132,5,0,458,12.3,0.061,28,0,0,45.5,211,1.39,12,5.3
Norway Spruce,8,45,1591,14.2,15.1,28.5,164,16,0,346,13.3,0.081,28,1,0,52,271,1.23,12.1,6
Norway Spruce,8,50,1325,15.5,16.9,29.9,196,36,1,266,14.4,0.105,28,2,0,57.8,331,1.08,11.8,6.6
Norway Spruce,8,55,1120,16.7,18.8,31,226,71,7,205,15.7,0.137,28,3,0,62.9,389,0.97,11.4,7.1
Norway Spruce,8,60,965,17.9,20.6,32,254,115,20,155,17.1,0.18,28,5,0,67.5,445,0.88,10.9,7.4
Norway Spruce,8,65,846,18.9,22.3,33,279,158,39,119,18.6,0.235,28,8,1,71.7,498,0.81,10.3,7.7
Norway Spruce,8,70,769,19.8,23.9,34.4,306,200,65,77,20.1,0.295,23,10,1,75.6,548,0.74,9.7,7.8
Norway Spruce,8,75,711,20.6,25.3,35.9,330,238,97,58,21.4,0.355,21,11,2,79.1,595,0.68,9.2,7.9
Norway Spruce,8,80,654,21.4,26.7,36.7,357,273,133,57,22.9,0.346,20,12,3,82.4,640,0.59,8.6,8
Norway Spruce,8,85,611,22,27.9,37.4,376,301,164,43,24.2,0.446,20,13,5,85.1,679,0.55,7.9,8
Norway Spruce,8,90,582,22.4,29.1,38.6,389,321,193,29,25.4,0.649,19,14,6,87.8,710,0.51,7.3,7.9
Norway Spruce,6,30,3694,7.8,8.2,19.4,47,0,0,0,0,0,0,0,0,19.4,47,1.55,6.7,1.6
Norway Spruce,6,35,2993,9.3,9.4,20.7,65,0,0,701,10.7,0.027,19,0,0,27,84,1.47,8,2.4
Norway Spruce,6,40,2497,10.7,10.8,22.8,87,0,0,496,11.2,0.042,21,0,0,34,127,1.35,8.9,3.2
Norway Spruce,6,45,2121,11.9,12.3,25.1,112,2,0,376,11.9,0.056,21,0,0,40.4,173,1.2,9.3,3.9
Norway Spruce,6,50,1812,13.1,13.7,26.8,138,7,0,309,12.6,0.068,21,0,0,46,220,1.05,9.3,4.4
Norway Spruce,6,55,1556,14.2,15.2,28.1,163,16,0,256,13.3,0.082,21,1,0,50.9,266,0.92,9.1,4.8
Norway Spruce,6,60,1349,15.2,16.6,29.2,186,31,0,207,14.2,0.101,21,1,0,55.2,311,0.83,8.8,5.2
Norway Spruce,6,65,1183,16.2,18,30.1,208,53,4,166,15.1,0.126,21,2,0,59.2,353,0.76,8.5,5.4
Norway Spruce,6,70,1059,17,19.4,31.3,230,84,11,124,16.2,0.158,20,3,0,62.9,395,0.71,8.1,5.6
Norway Spruce,6,75,973,17.7,20.7,32.6,253,117,21,86,17.2,0.185,16,3,0,66.2,434,0.64,7.6,5.8
Norway Spruce,6,80,903,18.4,21.8,33.8,275,148,34,70,18.2,0.209,15,4,0,69.2,471,0.53,7.1,5.9
Norway Spruce,6,85,846,19.1,22.8,34.5,295,175,48,57,19,0.25,14,5,1,71.5,503,0.5,6.5,5.9
Norway Spruce,6,90,791,19.7,23.9,35.4,312,203,66,55,20,0.256,14,6,1,74.2,536,0.44,6,6
European Larch,12,10,2825,7.7,8.8,17.3,27,0,0,0,0,0,0,0,0,17.3,27,1.79,9.4,2.7
European Larch,12,15,1438,11,12.2,16.8,68,1,0,1387,9.3,0.013,18,0,0,26.3,85,1.71,13.1,5.7
European Larch,12,20,810,13.9,16.1,16.4,98,14,0,628,13.1,0.067,42,1,0,34.4,158,1.56,15.4,7.9
European Larch,12,25,567,16.5,20.3,18.3,138,60,10,243,17.2,0.173,42,8,0,42,239,1.42,16.4,9.6
European Larch,12,30,434,18.9,24.4,20.3,179,121,43,133,21.3,0.316,42,21,4,48.6,322,1.25,16.2,10.7
European Larch,12,35,348,21,28.2,21.8,215,174,98,86,25.2,0.491,42,30,12,54.4,401,1.09,15.2,11.5
European Larch,12,40,290,22.8,31.8,23.1,248,218,155,58,29,0.699,40,33,20,59.5,474,0.95,13.9,11.8
European Larch,12,45,251,24.4,35.1,24.3,278,255,204,39,32.4,0.93,36,32,23,63.9,540,0.84,12.5,12
European Larch,12,50,223,25.7,38.2,25.5,304,286,245,28,35.6,1.17,32,30,24,67.9,599,0.75,11.2,12
European Larch,12,55,202,26.9,40.9,26.6,328,313,279,21,38.6,1.418,29,27,24,71.4,652,0.66,10,11.8
European Larch,12,60,186,27.9,43.5,27.6,349,336,307,16,41.3,1.669,26,25,22,74.5,699,0.59,8.9,11.6
European Larch,12,65,174,28.7,45.7,28.4,367,355,330,12,43.7,1.858,24,23,21,77.3,741,0.52,7.8,11.4
European Larch,12,70,164,29.5,47.5,29.1,382,371,348,10,45.8,2.019,21,21,19,79.7,777,0.45,6.9,11.1
European Larch,12,75,156,30.1,49.2,29.7,395,385,363,8,47.7,2.195,19,19,17,81.8,809,0.4,6,10.8
European Larch,12,80,149,30.7,50.7,30.1,406,397,375,7,49.4,2.37,17,17,16,83.6,837,0.35,5.3,10.5
European Larch,12,85,143,31.2,52.1,30.5,415,406,386,6,50.9,2.633,16,15,15,85.3,862,0.31,4.7,10.1
European Larch,12,90,139,31.6,53.3,31,423,414,395,4,52.3,2.84,14,14,13,86.8,884,0.28,4.2,9.8
European Larch,12,95,135,31.9,54.3,31.2,430,421,402,4,53.4,2.723,13,13,12,88.1,904,0.25,3.6,9.5
European Larch,12,100,131,32.3,55.2,31.3,435,426,408,4,54.3,2.533,11,11,11,89.2,920,0.22,3.3,9.2
European Larch,10,10,2902,6.8,8,14.6,16,0,0,0,0,0,0,0,0,14.6,16,1.61,7.2,1.6
European Larch,10,15,2005,9.8,10.8,18.3,58,0,0,897,8,0.002,2,0,0,22.8,60,1.55,10.2,4
European Larch,10,20,1036,12.5,14.1,16.1,81,5,0,969,11.1,0.036,35,0,0,30,118,1.43,12.6,5.9
European Larch,10,25,705,14.9,17.8,17.5,114,27,2,331,14.7,0.106,35,3,0,37,186,1.33,13.9,7.5
European Larch,10,30,536,17.1,21.4,19.3,150,77,16,169,18.3,0.206,35,10,1,43.3,257,1.18,14,8.6
European Larch,10,35,430,19.1,24.8,20.8,184,128,48,106,21.7,0.329,35,19,4,48.8,326,1.02,13.3,9.3
European Larch,10,40,357,20.8,28,21.9,213,171,94,73,24.9,0.475,35,24,9,53.5,390,0.88,12.2,9.8
European Larch,10,45,307,22.2,30.9,23,240,206,140,50,27.9,0.638,32,25,14,57.6,448,0.76,11,10
European Larch,10,50,273,23.5,33.5,24,263,237,180,34,30.7,0.818,28,24,16,61.1,500,0.66,9.8,10
European Larch,10,55,247,24.6,35.8,24.9,285,263,215,26,33.1,0.98,25,22,17,64.2,546,0.58,8.7,9.9
European Larch,10,60,228,25.5,37.9,25.8,304,285,243,19,35.4,1.131,22,20,16,67,587,0.52,7.8,9.8
European Larch,10,65,214,26.3,39.8,26.6,322,305,268,14,37.4,1.295,19,18,15,69.4,623,0.45,6.9,9.6
European Larch,10,70,202,27,41.4,27.2,336,321,288,12,39.1,1.398,17,16,14,71.5,655,0.39,6,9.4
European Larch,10,75,193,27.6,42.8,27.7,348,334,304,9,40.7,1.556,15,15,13,73.3,683,0.33,5.1,9.1
European Larch,10,80,185,28.1,44,28.1,358,345,317,8,42,1.643,14,13,12,74.8,706,0.29,4.4,8.8
European Larch,10,85,178,28.5,45.1,28.4,366,353,327,7,43.1,1.757,12,12,11,76.2,726,0.26,3.9,8.5
European Larch,10,90,173,28.9,46,28.8,373,361,336,5,44.2,1.897,11,11,10,77.4,745,0.24,3.6,8.3
European Larch,10,95,168,29.2,46.9,29.1,380,369,345,5,45.1,1.922,10,9,9,78.5,762,0.21,3,8
European Larch,10,100,164,29.5,47.7,29.4,385,374,350,4,45.9,2.073,9,8,8,79.5,774,0.19,2.6,7.7
European Larch,8,15,2761,8.4,9.2,18.3,36,0,0,0,0,0,0,0,0,18.3,36,1.44,7.6,2.4
European Larch,8,20,1481,10.8,12.1,16.9,66,1,0,1280,9.2,0.011,15,0,0,25.4,80,1.35,9.8,4
European Larch,8,25,953,13,15.2,17.2,91,9,0,528,12.2,0.053,28,0,0,31.9,134,1.23,11.2,5.3
European Larch,8,30,710,15,18.3,18.7,121,34,3,243,15.2,0.115,28,3,0,37.7,192,1.1,11.6,6.4
European Larch,8,35,567,16.8,21.3,20.1,151,76,16,143,18.1,0.195,28,7,1,42.9,250,0.96,11.3,7.1
European Larch,8,40,470,18.4,24,21.2,178,117,39,97,20.8,0.288,28,13,2,47.3,305,0.82,10.5,7.6
European Larch,8,45,400,19.8,26.5,22,200,151,71,70,23.3,0.396,28,17,5,51.1,355,0.7,9.5,7.9
European Larch,8,50,354,21,28.7,22.8,221,181,105,46,25.6,0.504,24,17,7,54.3,400,0.6,8.4,8
European Larch,8,55,322,22,30.6,23.6,241,206,137,32,27.6,0.608,20,16,8,57.1,439,0.52,7.4,8
European Larch,8,60,298,22.8,32.2,24.3,258,228,165,24,29.3,0.702,17,14,9,59.5,474,0.44,6.5,7.9
European Larch,8,65,279,23.6,33.7,24.9,273,246,189,19,30.9,0.792,15,13,9,61.5,504,0.38,5.6,7.8
European Larch,8,70,265,24.2,35,25.4,286,262,209,14,32.2,0.893,13,12,9,63.2,530,0.32,4.9,7.6
European Larch,8,75,253,24.7,36.1,25.9,296,274,225,12,33.4,0.983,12,11,8,64.7,552,0.28,4.2,7.4
European Larch,8,80,243,25.1,37,26.2,305,284,238,10,34.4,1.01,11,10,7,66,571,0.23,3.5,7.1
European Larch,8,85,235,25.5,37.8,26.4,311,292,248,8,35.3,1.119,9,9,7,67.1,587,0.2,3,6.9
European Larch,8,90,229,25.8,38.5,26.7,317,299,257,6,36,1.174,8,7,6,68,601,0.17,2.6,6.7
European Larch,8,95,223,26.1,39.1,26.9,322,304,265,6,36.7,1.211,7,6,5,68.8,613,0.15,2.2,6.5
European Larch,8,100,219,26.3,39.6,27,326,309,271,4,37.2,1.302,6,5,4,69.5,623,0.13,1.9,6.2
European Larch,6,20,2713,8.9,9.7,19.9,44,0,0,0,0,0,0,0,0,19.9,44,1.22,6.8,2.2
European Larch,6,25,1485,10.9,12.3,17.8,69,1,0,1228,9.4,0.012,15,0,0,26.3,84,1.12,8.4,3.4
European Larch,6,30,1052,12.7,14.9,18.3,92,8,0,433,11.8,0.049,21,0,0,31.6,128,1,9,4.3
European Larch,6,35,822,14.3,17.3,19.4,117,24,1,230,14.2,0.091,21,1,0,36.4,174,0.88,9,5
European Larch,6,40,675,15.8,19.6,20.3,140,53,7,147,16.4,0.143,21,3,0,40.4,218,0.76,8.6,5.5
European Larch,6,45,573,17.1,21.6,21.1,161,85,19,102,18.5,0.204,21,6,1,43.9,260,0.65,7.9,5.8
European Larch,6,50,497,18.1,23.5,21.5,177,112,34,76,20.3,0.271,21,9,1,46.9,297,0.55,7.1,5.9
European Larch,6,55,450,19.1,25.1,22.3,194,137,54,47,22,0.336,16,9,2,49.4,330,0.46,6.2,6
European Larch,6,60,417,19.8,26.5,22.9,209,158,74,33,23.4,0.393,13,8,2,51.5,358,0.39,5.3,6
European Larch,6,65,393,20.4,27.6,23.5,222,176,93,24,24.5,0.446,11,8,3,53.3,382,0.32,4.5,5.9
European Larch,6,70,373,21,28.6,23.9,233,190,110,20,25.5,0.483,10,7,3,54.8,403,0.27,3.8,5.8
European Larch,6,75,358,21.4,29.4,24.3,242,202,124,15,26.4,0.531,9,6,3,56,420,0.22,3.2,5.6
European Larch,6,80,345,21.8,30.1,24.5,249,211,136,13,27.1,0.574,7,6,3,56.9,435,0.18,2.6,5.4
European Larch,6,85,335,22.1,30.6,24.7,254,218,145,10,27.7,0.587,6,5,3,57.8,446,0.15,2.1,5.3
European Larch,6,90,327,22.3,31.1,24.8,258,223,153,8,28.1,0.624,5,4,2,58.4,456,0.12,1.7,5.1
European Larch,6,95,321,22.5,31.5,25,261,228,159,6,28.5,0.683,4,3,2,59,463,0.1,1.4,4.9
European Larch,6,100,316,22.6,31.7,25,264,231,164,5,28.8,0.66,3,3,2,59.4,469,0.08,1.2,4.7
European Larch,4,25,2739,8.6,9.4,19.1,40,0,0,0,0,0,0,0,0,19.1,40,0.96,4.8,1.6
European Larch,4,30,1684,10.2,11.5,17.5,60,0,0,1055,8.6,0.007,8,0,0,23.7,68,0.9,6.1,2.3
European Larch,4,35,1248,11.7,13.6,18,78,4,0,436,10.6,0.032,14,0,0,28,100,0.82,6.5,2.9
European Larch,4,40,1007,13,15.5,19,97,11,0,241,12.4,0.058,14,0,0,31.9,133,0.72,6.5,3.3
European Larch,4,45,850,14.1,17.2,19.8,115,23,1,157,14.1,0.089,14,1,0,35.2,165,0.61,6,3.7
European Larch,4,50,736,15.1,18.8,20.4,130,41,4,114,15.6,0.123,14,2,0,38,193,0.5,5.4,3.9
European Larch,4,55,654,15.9,20.1,20.8,142,60,9,82,16.9,0.159,13,2,0,40.2,218,0.41,4.7,4
European Larch,4,60,604,16.5,21.2,21.4,153,77,16,50,18,0.189,10,2,0,42.1,240,0.34,4,4
European Larch,4,65,570,17.1,22.1,21.9,164,91,22,34,18.9,0.214,7,2,0,43.5,258,0.28,3.3,4
European Larch,4,70,544,17.5,22.9,22.3,173,103,29,26,19.7,0.238,6,2,0,44.8,273,0.22,2.8,3.9
European Larch,4,75,523,17.9,23.5,22.7,180,114,35,21,20.3,0.263,6,2,0,45.8,286,0.18,2.3,3.8
European Larch,4,80,506,18.2,24,22.8,185,122,40,17,20.8,0.272,5,2,0,46.6,296,0.13,1.8,3.7
European Larch,4,85,493,18.4,24.3,22.9,189,127,45,13,21.1,0.293,4,2,0,47.1,303,0.1,1.3,3.6
European Larch,4,90,483,18.5,24.6,23,191,131,48,10,21.4,0.316,3,2,0,47.6,308,0.08,1,3.4
European Larch,4,95,476,18.6,24.9,23.1,192,134,51,7,21.6,0.338,2,1,0,47.9,312,0.06,0.8,3.3
European Larch,4,100,470,18.7,25,23.1,193,136,53,6,21.7,0.276,2,1,0,48.1,314,0.04,0.5,3.1
Japanese Larch,14,10,2308,8,9.7,17.1,43,0,0,657,7.7,0.012,8,0,0,20.1,51,2.32,12.9,5.1
Japanese Larch,14,15,999,11.4,13.6,14.5,69,3,0,1309,11.6,0.037,49,0,0,31.4,126,2.11,16.8,8.4
Japanese Larch,14,20,652,14.5,18.2,17,112,31,2,347,16.3,0.141,49,7,0,41.2,218,1.78,18.7,10.9
Japanese Larch,14,25,480,17.2,22.6,19.2,158,92,24,172,20.7,0.284,49,23,4,49.2,313,1.47,18.5,12.5
Japanese Larch,14,30,374,19.8,26.6,20.7,199,151,72,106,24.9,0.462,49,34,13,55.9,403,1.23,17.3,13.4
Japanese Larch,14,35,301,21.8,30.3,21.7,233,198,129,73,28.7,0.688,49,40,23,61.5,485,1.05,15.7,13.9
Japanese Larch,14,40,255,23.5,33.8,22.9,264,238,183,46,32.4,0.958,43,38,28,66.4,560,0.93,14.3,14
Japanese Larch,14,45,223,25,37.1,24.1,293,273,229,32,35.8,1.249,39,36,29,70.8,628,0.83,13.1,14
Japanese Larch,14,50,199,26.4,40.2,25.3,320,304,268,24,39.1,1.54,36,34,30,74.7,691,0.76,12.2,13.8
Japanese Larch,14,55,180,27.6,43.2,26.3,344,330,302,19,42.2,1.853,34,33,30,78.4,749,0.7,11.3,13.6
Japanese Larch,14,60,165,28.6,45.9,27.3,366,354,329,15,45,2.13,33,32,29,81.7,804,0.65,10.6,13.4
Japanese Larch,14,65,153,29.6,48.4,28.1,385,374,352,12,47.7,2.446,32,31,29,84.9,855,0.61,9.9,13.2
Japanese Larch,14,70,142,30.4,50.8,28.8,401,391,371,11,50.2,2.722,31,31,29,87.8,902,0.56,9.2,12.9
Japanese Larch,14,75,132,31.2,53,29.2,414,405,386,10,52.6,3.029,31,30,29,90.5,946,0.52,8.6,12.6
Japanese Larch,14,80,124,31.9,55.3,29.7,425,417,399,8,55,3.506,31,30,29,93.1,987,0.48,8,12.3
Hybrid Larch,14,10,2308,8,9.7,17.1,43,0,0,657,7.7,0.012,8,0,0,20.1,51,2.32,12.9,5.1
Hybrid Larch,14,15,999,11.4,13.6,14.5,69,3,0,1309,11.6,0.037,49,0,0,31.4,126,2.11,16.8,8.4
Hybrid Larch,14,20,652,14.5,18.2,17,112,31,2,347,16.3,0.141,49,7,0,41.2,218,1.78,18.7,10.9
Hybrid Larch,14,25,480,17.2,22.6,19.2,158,92,24,172,20.7,0.284,49,23,4,49.2,313,1.47,18.5,12.5
Hybrid Larch,14,30,374,19.8,26.6,20.7,199,151,72,106,24.9,0.462,49,34,13,55.9,403,1.23,17.3,13.4
Hybrid Larch,14,35,301,21.8,30.3,21.7,233,198,129,73,28.7,0.688,49,40,23,61.5,485,1.05,15.7,13.9
Hybrid Larch,14,40,255,23.5,33.8,22.9,264,238,183,46,32.4,0.958,43,38,28,66.4,560,0.93,14.3,14
Hybrid Larch,14,45,223,25,37.1,24.1,293,273,229,32,35.8,1.249,39,36,29,70.8,628,0.83,13.1,14
Hybrid Larch,14,50,199,26.4,40.2,25.3,320,304,268,24,39.1,1.54,36,34,30,74.7,691,0.76,12.2,13.8
Hybrid Larch,14,55,180,27.6,43.2,26.3,344,330,302,19,42.2,1.853,34,33,30,78.4,749,0.7,11.3,13.6
Hybrid Larch,14,60,165,28.6,45.9,27.3,366,354,329,15,45,2.13,33,32,29,81.7,804,0.65,10.6,13.4
Hybrid Larch,14,65,153,29.6,48.4,28.1,385,374,352,12,47.7,2.446,32,31,29,84.9,855,0.61,9.9,13.2
Hybrid Larch,14,70,142,30.4,50.8,28.8,401,391,371,11,50.2,2.722,31,31,29,87.8,902,0.56,9.2,12.9
Hybrid Larch,14,75,132,31.2,53,29.2,414,405,386,10,52.6,3.029,31,30,29,90.5,946,0.52,8.6,12.6
Hybrid Larch,14,80,124,31.9,55.3,29.7,425,417,399,8,55,3.506,31,30,29,93.1,987,0.48,8,12.3
Japanese Larch,12,10,2869,7.2,8.7,17,36,0,0,0,0,0,0,0,0,17,36,2.23,10.1,3.6
Japanese Larch,12,15,1239,10.3,12.2,14.4,59,1,0,1630,10.2,0.024,39,0,0,27.8,98,2.03,14.2,6.5
Japanese Larch,12,20,792,13.3,16.4,16.7,96,15,0,447,14.4,0.094,42,3,0,37.3,178,1.73,16.4,8.9
Japanese Larch,12,25,582,15.8,20.3,18.9,138,60,10,210,18.4,0.199,42,12,1,45.1,261,1.41,16.4,10.5
Japanese Larch,12,30,545,18.1,23.8,20.3,176,114,37,128,22,0.327,42,23,5,51.4,341,1.15,15.3,11.4
Japanese Larch,12,35,367,20,27.1,21.1,206,160,80,87,25.4,0.487,42,30,12,56.6,414,0.97,13.8,11.8
Japanese Larch,12,40,310,21.6,30.1,22,234,198,128,57,28.5,0.681,38,31,18,61.1,479,0.85,12.6,12
Japanese Larch,12,45,271,23,32.9,23.1,259,232,173,39,31.4,0.89,34,30,21,65.1,539,0.76,11.6,12
Japanese Larch,12,50,243,24.3,35.6,24.1,284,261,212,28,34.2,1.107,31,28,22,68.7,595,0.69,10.7,11.9
Japanese Larch,12,55,220,25.4,38,25,306,287,245,23,36.7,1.302,29,27,22,72,646,0.62,9.9,11.7
Japanese Larch,12,60,202,26.4,40.4,25.8,326,310,275,18,39.2,1.554,27,26,22,74.9,693,0.57,9.1,11.6
Japanese Larch,12,65,187,27.3,42.5,26.5,344,329,299,15,41.5,1.782,26,25,22,77.6,737,0.52,8.4,11.3
Japanese Larch,12,70,174,28.1,44.5,27.1,359,346,319,13,43.6,1.947,26,25,23,80.2,778,0.5,7.9,11.1
Japanese Larch,12,75,163,28.8,46.5,27.6,372,360,336,11,45.6,2.226,26,25,23,82.6,816,0.46,7.4,10.9
Japanese Larch,12,80,153,29.5,48.2,27.9,381,371,348,10,47.5,2.406,26,25,23,84.7,851,0.42,6.8,10.6
Hybrid Larch,12,10,2869,7.2,8.7,17,36,0,0,0,0,0,0,0,0,17,36,2.23,10.1,3.6
Hybrid Larch,12,15,1239,10.3,12.2,14.4,59,1,0,1630,10.2,0.024,39,0,0,27.8,98,2.03,14.2,6.5
Hybrid Larch,12,20,792,13.3,16.4,16.7,96,15,0,447,14.4,0.094,42,3,0,37.3,178,1.73,16.4,8.9
Hybrid Larch,12,25,582,15.8,20.3,18.9,138,60,10,210,18.4,0.199,42,12,1,45.1,261,1.41,16.4,10.5
Hybrid Larch,12,30,545,18.1,23.8,20.3,176,114,37,128,22,0.327,42,23,5,51.4,341,1.15,15.3,11.4
Hybrid Larch,12,35,367,20,27.1,21.1,206,160,80,87,25.4,0.487,42,30,12,56.6,414,0.97,13.8,11.8
Hybrid Larch,12,40,310,21.6,30.1,22,234,198,128,57,28.5,0.681,38,31,18,61.1,479,0.85,12.6,12
Hybrid Larch,12,45,271,23,32.9,23.1,259,232,173,39,31.4,0.89,34,30,21,65.1,539,0.76,11.6,12
Hybrid Larch,12,50,243,24.3,35.6,24.1,284,261,212,28,34.2,1.107,31,28,22,68.7,595,0.69,10.7,11.9
Hybrid Larch,12,55,220,25.4,38,25,306,287,245,23,36.7,1.302,29,27,22,72,646,0.62,9.9,11.7
Hybrid Larch,12,60,202,26.4,40.4,25.8,326,310,275,18,39.2,1.554,27,26,22,74.9,693,0.57,9.1,11.6
Hybrid Larch,12,65,187,27.3,42.5,26.5,344,329,299,15,41.5,1.782,26,25,22,77.6,737,0.52,8.4,11.3
Hybrid Larch,12,70,174,28.1,44.5,27.1,359,346,319,13,43.6,1.947,26,25,23,80.2,778,0.5,7.9,11.1
Hybrid Larch,12,75,163,28.8,46.5,27.6,372,360,336,11,45.6,2.226,26,25,23,82.6,816,0.46,7.4,10.9
Hybrid Larch,12,80,153,29.5,48.2,27.9,381,371,348,10,47.5,2.406,26,25,23,84.7,851,0.42,6.8,10.6
Japanese Larch,10,10,2951,6.3,7.6,13.4,23,0,0,0,0,0,0,0,0,13.4,23,2.14,7.3,2.3
Japanese Larch,10,15,1640,9.1,11,15.5,49,0,0,1311,9,0.017,22,0,0,23.8,71,1.95,11.4,4.7
Japanese Larch,10,20,995,11.7,14.6,16.6,80,6,0,645,12.5,0.054,35,1,0,32.8,136,1.66,13.7,6.8
Japanese Larch,10,25,723,14.2,18.1,18.5,116,30,2,272,16.1,0.129,35,5,0,40.3,208,1.35,14.1,8.3
Japanese Larch,10,30,564,16.3,21.2,19.9,150,75,15,159,19.3,0.22,35,12,2,46.4,277,1.11,13.4,9.2
Japanese Larch,10,35,459,18.1,24,20.8,179,118,40,105,22.2,0.332,35,20,5,51.4,341,0.92,12.2,9.7
Japanese Larch,10,40,387,19.6,26.6,21.5,203,155,74,72,24.9,0.46,33,23,9,55.6,398,0.78,10.9,10
Japanese Larch,10,45,339,20.9,29,22.3,226,186,11,48,27.3,0.6,29,23,12,59.2,450,0.68,9.8,10
Japanese Larch,10,50,304,22,31.1,23.1,247,214,146,35,29.5,0.735,26,21,13,62.3,496,0.59,8.9,9.9
Japanese Larch,10,55,227,23,33.1,23.8,266,238,178,27,31.6,0.888,24,21,15,65.1,539,0.53,8.2,9.8
Japanese Larch,10,60,255,23.9,34.9,24.4,283,259,205,22,33.5,1.018,22,20,15,67.6,578,0.48,7.6,9.6
Japanese Larch,10,65,237,24.7,36.6,24.9,298,277,230,18,35.3,1.179,21,19,16,69.9,615,0.45,7.1,9.5
Japanese Larch,10,70,221,25.5,38.3,25.4,312,293,251,16,37,1.336,21,19,16,72.1,649,0.42,6.6,9.3
Japanese Larch,10,75,207,26.1,39.8,25.8,323,306,269,14,38.7,1.504,21,19,17,74.1,680,0.38,6.1,9.1
Japanese Larch,10,80,195,26.7,41.2,26,331,316,283,12,40.1,1.602,21,19,17,75.9,709,0.35,5.6,8.9
Hybrid Larch,10,10,2951,6.3,7.6,13.4,23,0,0,0,0,0,0,0,0,13.4,23,2.14,7.3,2.3
Hybrid Larch,10,15,1640,9.1,11,15.5,49,0,0,1311,9,0.017,22,0,0,23.8,71,1.95,11.4,4.7
Hybrid Larch,10,20,995,11.7,14.6,16.6,80,6,0,645,12.5,0.054,35,1,0,32.8,136,1.66,13.7,6.8
Hybrid Larch,10,25,723,14.2,18.1,18.5,116,30,2,272,16.1,0.129,35,5,0,40.3,208,1.35,14.1,8.3
Hybrid Larch,10,30,564,16.3,21.2,19.9,150,75,15,159,19.3,0.22,35,12,2,46.4,277,1.11,13.4,9.2
Hybrid Larch,10,35,459,18.1,24,20.8,179,118,40,105,22.2,0.332,35,20,5,51.4,341,0.92,12.2,9.7
Hybrid Larch,10,40,387,19.6,26.6,21.5,203,155,74,72,24.9,0.46,33,23,9,55.6,398,0.78,10.9,10
Hybrid Larch,10,45,339,20.9,29,22.3,226,186,11,48,27.3,0.6,29,23,12,59.2,450,0.68,9.8,10
Hybrid Larch,10,50,304,22,31.1,23.1,247,214,146,35,29.5,0.735,26,21,13,62.3,496,0.59,8.9,9.9
Hybrid Larch,10,55,227,23,33.1,23.8,266,238,178,27,31.6,0.888,24,21,15,65.1,539,0.53,8.2,9.8
Hybrid Larch,10,60,255,23.9,34.9,24.4,283,259,205,22,33.5,1.018,22,20,15,67.6,578,0.48,7.6,9.6
Hybrid Larch,10,65,237,24.7,36.6,24.9,298,277,230,18,35.3,1.179,21,19,16,69.9,615,0.45,7.1,9.5
